DATA	N	NE
01/01/2019	6137,09	12766,85
01/02/2019	6260,52	13107,82
01/03/2019	6371,56	13227,14
01/04/2019	6164,85	12691,33
01/05/2019	6507,15	12429,34
01/06/2019	6507,83	11754,83
01/07/2019	6072,56	11606,28
01/08/2019	6485,07	11035,5
01/09/2019	6585,56	11828,13
01/10/2019	6463,39	12428,23
01/11/2019	6565,23	12851,28
01/12/2019	6560,54	13121,2
01/01/2020	6101,37	12787,02
01/02/2020	6355,08	12983,98
01/03/2020	6217,08	12981,01
01/04/2020	7522,05	11490,35
01/05/2020	6022,14	11032,2
01/06/2020	6069,18	10874,86
01/07/2020	6268,78	11128,58
01/08/2020	6711,68	11243,09
01/09/2020	6781,36	11970,09
01/10/2020	6888,21	12625,72
