DATA,SE-CO ,S,NE,N,SIN
01/01/2003,"  31.281,6 ","  8.659,8 ","  7.379,0 ","  2.910,0 ","  49.010,9 "
01/02/2003,"  33.368,9 ","  9.089,6 ","  7.041,6 ","  3.034,9 ","  51.685,1 "
01/03/2003,"  33.152,7 ","  9.127,2 ","  7.156,2 ","  3.065,4 ","  51.446,0 "
01/04/2003,"  34.189,3 ","  9.452,2 ","  7.400,0 ","  3.110,7 ","  53.300,9 "
01/05/2003,"  34.073,2 ","  9.322,7 ","  7.300,5 ","  3.147,9 ","  53.514,6 "
01/06/2003,"  34.045,0 ","  9.210,9 ","  7.127,4 ","  3.170,5 ","  53.206,8 "
01/07/2003,"  33.442,0 ","  9.096,4 ","  7.058,4 ","  3.117,9 ","  52.229,4 "
01/08/2003,"  33.857,0 ","  8.936,6 ","  7.439,0 ","  2.956,5 ","  51.946,8 "
01/09/2003,"  33.525,1 ","  9.357,7 ","  7.525,6 ","  2.983,5 ","  52.414,4 "
01/10/2003,"  33.480,0 ","  9.235,1 ","  7.719,9 ","  3.140,3 ","  52.689,5 "
01/11/2003,"  33.493,7 ","  9.045,3 ","  7.743,2 ","  3.249,0 ","  52.556,1 "
01/12/2003,"  33.318,2 ","  9.035,0 ","  7.774,3 ","  3.223,4 ","  52.523,1 "
01/01/2004,"  32.481,9 ","  9.006,9 ","  7.423,0 ","  3.251,4 ","  50.892,5 "
01/02/2004,"  33.983,0 ","  9.287,6 ","  7.373,7 ","  3.182,1 ","  53.255,9 "
01/03/2004,"  34.605,7 ","  9.729,5 ","  7.623,5 ","  3.262,2 ","  54.732,7 "
01/04/2004,"  35.278,4 ","  9.961,6 ","  7.684,0 ","  3.290,5 ","  55.619,3 "
01/05/2004,"  35.658,6 ","  9.668,6 ","  7.704,6 ","  3.340,3 ","  55.770,9 "
01/06/2004,"  35.842,4 ","  9.874,0 ","  7.597,1 ","  3.363,4 ","  56.108,2 "
01/07/2004,"  35.782,8 ","  9.849,8 ","  7.587,9 ","  3.346,9 ","  55.996,9 "
01/08/2004,"  35.872,3 ","  9.531,0 ","  7.965,2 ","  3.393,9 ","  56.452,6 "
01/09/2004,"  36.199,9 ","  9.712,0 ","  8.040,4 ","  3.457,9 ","  56.795,1 "
01/10/2004,"  36.021,9 ","  9.659,5 ","  8.257,0 ","  3.477,2 ","  56.507,1 "
01/11/2004,"  35.548,8 ","  9.514,1 ","  8.268,0 ","  3.481,0 ","  55.619,9 "
01/12/2004,"  35.039,5 ","  9.619,8 ","  8.116,6 ","  3.429,0 ","  55.690,3 "
01/01/2005,"  34.278,2 ","  9.576,3 ","  8.093,3 ","  3.341,8 ","  53.989,0 "
01/02/2005,"  36.814,7 ","  9.904,7 ","  8.058,2 ","  3.419,2 ","  57.770,7 "
01/03/2005,"  36.745,6 ","  10.403,1 ","  8.182,4 ","  3.436,2 ","  58.386,3 "
01/04/2005,"  37.501,3 ","  10.529,3 ","  8.272,7 ","  3.498,9 ","  58.991,2 "
01/05/2005,"  37.629,1 ","  10.131,9 ","  8.158,9 ","  3.490,6 ","  59.103,0 "
01/06/2005,"  36.760,1 ","  10.169,2 ","  8.062,4 ","  3.540,5 ","  57.962,9 "
01/07/2005,"  36.087,5 ","  9.883,6 ","  7.979,0 ","  3.410,5 ","  56.835,0 "
01/08/2005,"  37.388,0 ","  9.793,2 ","  8.187,4 ","  3.569,5 ","  58.357,3 "
01/09/2005,"  36.682,6 ","  9.810,5 ","  8.461,0 ","  3.559,0 ","  57.718,2 "
