Data	N.Mes	Leitura	Neutro	Pessimista	Otimista
01/01/2013	1	15458.699999999999	16608.056887346964	16648.346818671045	15082.301104373997
01/02/2013	2	16020.8	16640.579072053937	16678.430216922243	15642.035061472065
01/03/2013	3	16295.300000000001	16673.101256760907	16708.567975576916	15969.458436754696
01/04/2013	4	16314.900000000001	16705.62344146788	16738.760192863785	16201.769018570129
01/05/2013	5	15606.8	16738.14562617485	16769.006967189056	16381.963105022473
01/06/2013	6	15294.3	16770.667810881823	16799.30839713676	16529.19239385276
01/07/2013	7	16431.6	16803.189995588793	16829.664581469064	16653.672983876033
01/08/2013	8	16783.7	16835.712180295763	16860.075619126605	16761.50297566819
01/09/2013	9	17320.7	16868.234365002736	16890.5416092288	16856.61576913539
01/10/2013	10	17173.6	16900.756549709706	16921.062651074164	16941.69706212054
01/11/2013	11	17173.6	16933.27873441668	16951.63884414066	17018.66245358402
01/12/2013	12	17691.2	16965.80091912365	16982.270288086005	17088.926350950827
01/01/2014	13	17457.6	16998.32310383062	17012.95708274798	17153.562870811962
01/02/2014	14	17390.199999999997	17030.845288537592	17043.699328144794	17213.406940974095
01/03/2014	15	17419.4	17063.36747324456	17074.49712447537	17269.120437403173
01/04/2014	16	17540.2	17095.889657951535	17105.3505721197	17321.23693276626
01/05/2014	17	17181.1	17128.411842658505	17136.259771639154	17370.19285499835
01/06/2014	18	16893.3	17160.934027365478	17167.224823776825	17416.34972623346
01/07/2014	19	16334.2	17193.456212072448	17198.24582945784	17460.010380939522
01/08/2014	20	16758.6	17225.978396779417	17229.3228897897	17501.431019218602
01/09/2014	21	17696.0	17258.50058148639	17260.456106062604	17540.830316256728
01/10/2014	22	17481.7	17291.02276619336	17291.64557974978	17578.396410682082
01/11/2014	23	17729.4	17323.544950900334	17322.891412507826	17614.292338216055
01/12/2014	24	17553.8	17356.067135607303	17354.19370617703	17648.660308048893
01/01/2015	25	17874.5	17388.589320314277	17385.552562781682	17681.625105670948
01/02/2015	26	17856.0	17421.111505021247	17416.96808453047	17713.296827910028
01/03/2015	27	17800.1	17453.633689728216	17448.44037381674	17743.773101516093
01/04/2015	28	18185.7	17486.15587443519	17479.969533218864	17773.14089807216
01/05/2015	29	17626.300000000003	17518.67805914216	17511.55566550059	17801.47803028395
01/06/2015	30	17161.199999999997	17551.200243849133	17543.198873611345	17828.854394501235
01/07/2015	31	16388.6	17583.722428556102	17574.899260686587	17855.33300942748
01/08/2015	32	17346.8	17616.244613263072	17606.656930048146	17880.970889864322
01/09/2015	33	17709.9	17648.766797970045	17638.471985204542	17905.819785964715
01/10/2015	34	18350.0	17681.288982677015	17670.344529851343	17929.92681209642
01/11/2015	35	18693.2	17713.81116738399	17702.274667871483	17953.334984524507
01/12/2015	36	18803.6	17746.33335209096	17734.262503335627	17976.083683331522
01/01/2016	37	17539.1	17778.85553679793	17766.308140502482	17998.209051035326
01/02/2016	38	18106.2	17811.3777215049	17798.411683819155	18019.744338037588
01/03/2016	39	18434.0	17843.89990621187	17830.573237921486	18040.72020319266
01/04/2016	40	18594.9	17876.422090918844	17862.792907634393	18061.16497631667
01/05/2016	41	18185.5	17908.944275625814	17895.07079797221	18081.10488827755
01/06/2016	42	17823.1	17941.466460332787	17927.407014139033	18100.564273354797
01/07/2016	43	17212.199999999997	17973.988645039757	17959.801661529054	18119.565747785167
01/08/2016	44	18032.5	18006.51082974673	17992.25484572692	18138.130367780148
01/09/2016	45	18480.5	18039.0330144537	18024.766672508063	18156.277769783872
01/10/2016	46	18584.0	18071.55519916067	18057.337247839052	18174.02629531412
01/11/2016	47	18855.9	18104.077383867643	18089.966677877932	18191.39310237632
01/12/2016	48	18674.3	18136.599568574613	18122.65506897459	18208.39426514696
01/01/2017	49	18191.6	18169.121753281586	18155.402527671067	18225.044863378065
01/02/2017	50	18575.5	18201.643937988556	18188.20916070193	18241.359062769014
01/03/2017	51	18877.4	18234.166122695526	18221.07507499462	18257.35018737905
01/04/2017	52	18617.1	18266.6883074025	18254.000377669796	18273.03078500809
01/05/2017	53	19124.1	18299.21049210947	18286.98517604167	18288.412686349606
01/06/2017	54	18070.0	18331.732676816442	18320.029577618385	18303.50705861416
01/07/2017	55	16998.3	18364.25486152341	18353.133690102342	18318.324454232494
01/08/2017	56	17839.5	18396.777046230385	18386.297621390557	18332.874855170227
01/09/2017	57	17749.7	18429.299230937355	18419.52147957502	18347.167713320217
01/10/2017	58	18798.1	18461.82141564433	18452.805372943043	18361.211987382016
01/11/2017	59	18890.9	18494.343600351298	18486.14940997761	18375.01617658873
01/12/2017	60	19349.5	18526.865785058268	18519.55369935773	18388.5883515993
01/01/2018	61	18445.7	18559.38796976524	18553.018349958795	18401.936182837315
01/02/2018	62	18480.7	18591.91015447221	18586.54347085294	18415.066966525545
01/03/2018	63	19112.6	18624.432339179184	18620.129171309378	18427.987648637427
01/04/2018	64	18700.8	18656.954523886154	18653.77556079479	18440.70484696239
01/05/2018	65	18121.0	18689.476708593123	18687.482748973645	18453.224871460436
01/06/2018	66	17486.3	18721.998893300097	18721.250845708593	18465.55374306278
01/07/2018	67	17223.8	18754.521078007067	18755.079961060776	18477.697211058727
01/08/2018	68	17961.0	18787.04326271404	18788.97020529024	18489.66076919448
01/09/2018	69	18521.7	18819.56544742101	18822.921688856266	18501.449670596754
01/10/2018	70	19012.6	18852.08763212798	18856.934522417727	18513.068941622572
01/11/2018	71	19130.5	18884.609816834953	18891.008816833462	18524.52339472678
01/12/2018	72	18309.6	18917.132001541922	18925.14468316262	18535.817640429592
